jour;libelle;reg;incid_rea
2020-03-19;Auvergne-Rhône-Alpes;84;44
2020-03-19;Bourgogne-Franche-Comté;27;33
2020-03-19;Bretagne;53;8
2020-03-19;Centre-Val de Loire;24;6
2020-03-19;Corse;94;11
2020-03-19;Grand-Est;44;69
2020-03-19;Guadeloupe;1;0
2020-03-19;Guyane;3;0
2020-03-19;Hauts-de-France;32;37
2020-03-19;Ile-de-France;11;151
2020-03-19;La Réunion;4;0
2020-03-19;Martinique;2;0
2020-03-19;Mayotte;6;0
2020-03-19;Normandie;28;7
2020-03-19;Nouvelle-Aquitaine;75;7
2020-03-19;Occitanie;76;29
2020-03-19;Pays de la Loire;52;11
2020-03-19;Provence-Alpes-Côte d'Azur;93;25
2020-03-20;Auvergne-Rhône-Alpes;84;16
2020-03-20;Bourgogne-Franche-Comté;27;9
2020-03-20;Bretagne;53;2
2020-03-20;Centre-Val de Loire;24;4
2020-03-20;Corse;94;0
2020-03-20;Grand-Est;44;45
2020-03-20;Guadeloupe;1;0
2020-03-20;Guyane;3;0
2020-03-20;Hauts-de-France;32;35
2020-03-20;Ile-de-France;11;89
2020-03-20;La Réunion;4;0
2020-03-20;Martinique;2;0
2020-03-20;Mayotte;6;0
2020-03-20;Normandie;28;3
2020-03-20;Nouvelle-Aquitaine;75;6
2020-03-20;Occitanie;76;19
2020-03-20;Pays de la Loire;52;3
2020-03-20;Provence-Alpes-Côte d'Azur;93;11
2020-03-21;Auvergne-Rhône-Alpes;84;15
2020-03-21;Bourgogne-Franche-Comté;27;11
2020-03-21;Bretagne;53;9
2020-03-21;Centre-Val de Loire;24;3
2020-03-21;Corse;94;0
2020-03-21;Grand-Est;44;65
2020-03-21;Guadeloupe;1;0
2020-03-21;Guyane;3;0
2020-03-21;Hauts-de-France;32;28
2020-03-21;Ile-de-France;11;104
2020-03-21;La Réunion;4;0
2020-03-21;Martinique;2;0
2020-03-21;Mayotte;6;0
2020-03-21;Normandie;28;9
2020-03-21;Nouvelle-Aquitaine;75;19
2020-03-21;Occitanie;76;10
2020-03-21;Pays de la Loire;52;8
2020-03-21;Provence-Alpes-Côte d'Azur;93;17
2020-03-22;Auvergne-Rhône-Alpes;84;25
2020-03-22;Bourgogne-Franche-Comté;27;14
2020-03-22;Bretagne;53;8
2020-03-22;Centre-Val de Loire;24;7
2020-03-22;Corse;94;2
2020-03-22;Grand-Est;44;63
2020-03-22;Guadeloupe;1;5
2020-03-22;Guyane;3;0
2020-03-22;Hauts-de-France;32;15
2020-03-22;Ile-de-France;11;125
2020-03-22;La Réunion;4;0
2020-03-22;Martinique;2;1
2020-03-22;Mayotte;6;0
2020-03-22;Normandie;28;8
2020-03-22;Nouvelle-Aquitaine;75;5
2020-03-22;Occitanie;76;16
2020-03-22;Pays de la Loire;52;9
2020-03-22;Provence-Alpes-Côte d'Azur;93;6
2020-03-23;Auvergne-Rhône-Alpes;84;45
2020-03-23;Bourgogne-Franche-Comté;27;12
2020-03-23;Bretagne;53;6
2020-03-23;Centre-Val de Loire;24;17
2020-03-23;Corse;94;2
