,reg,libelle,cl_age90,rea_f,rea_h,rea,pct_h,pct_f,incid_rea,population,inc_h,inc_f,benef_h,benef_f
0,1,Guadeloupe,0,244,549,793,0.69,0.31,70,375693,6.45,2.87,11.0295,4.9077
1,1,Guadeloupe,9,244,549,0,0.0,0.0,70,39898,0.0,0.0,0.0,0.0
2,1,Guadeloupe,19,244,549,0,0.0,0.0,70,49529,0.0,0.0,0.0,0.0
3,1,Guadeloupe,29,244,549,0,0.0,0.0,70,34537,0.0,0.0,0.0,0.0
4,1,Guadeloupe,39,244,549,16,0.01,0.01,70,36680,1.34,0.57,2.2914000000000003,0.9747000000000001
5,1,Guadeloupe,49,244,549,89,0.08,0.04,70,46892,5.82,2.61,9.952200000000001,4.4631
6,1,Guadeloupe,59,244,549,307,0.27,0.12,70,60297,15.56,6.91,26.607599999999998,11.8161
7,1,Guadeloupe,69,244,549,301,0.26,0.12,70,52339,17.59,7.82,30.078899999999997,13.3722
8,1,Guadeloupe,79,244,549,80,0.07,0.03,70,34121,7.18,3.18,12.2778,5.437800000000001
9,1,Guadeloupe,89,244,549,0,0.0,0.0,70,16605,0.0,0.0,0.0,0.0
10,1,Guadeloupe,90,244,549,0,0.0,0.0,70,4795,0.0,0.0,0.0,0.0
11,2,Martinique,0,316,507,824,0.62,0.38,66,354824,5.72,3.58,9.7812,6.1218
12,2,Martinique,9,316,507,0,0.0,0.0,66,33346,0.0,0.0,0.0,0.0
13,2,Martinique,19,316,507,0,0.0,0.0,66,41386,0.0,0.0,0.0,0.0
14,2,Martinique,29,316,507,4,0.0,0.0,66,31356,0.32,0.21,0.5472,0.3591
15,2,Martinique,39,316,507,22,0.02,0.01,66,34654,1.52,0.95,2.5992,1.6244999999999998
16,2,Martinique,49,316,507,117,0.09,0.06,66,40940,7.01,4.43,11.987100000000002,7.575299999999999
17,2,Martinique,59,316,507,203,0.15,0.1,66,61693,8.13,5.08,13.9023,8.6868
18,2,Martinique,69,316,507,179,0.13,0.08,66,53383,8.28,5.19,14.1588,8.8749
19,2,Martinique,79,316,507,272,0.2,0.13,66,34098,19.65,12.29,33.6015,21.0159
20,2,Martinique,89,316,507,22,0.02,0.01,66,18825,2.8,1.75,4.7879999999999985,2.9925
21,2,Martinique,90,316,507,5,0.0,0.0,66,5143,2.57,1.28,4.394699999999999,2.1888
22,3,Guyane,0,179,240,426,0.56,0.44,45,294146,4.31,3.34,7.370100000000001,5.711399999999999
23,3,Guyane,9,179,240,0,0.0,0.0,45,63296,0.0,0.0,0.0,0.0
24,3,Guyane,19,179,240,0,0.0,0.0,45,57886,0.0,0.0,0.0,0.0
25,3,Guyane,29,179,240,9,0.01,0.01,45,40628,0.66,0.5,1.1286,0.8550000000000001
26,3,Guyane,39,179,240,12,0.02,0.01,45,41093,0.88,0.66,1.5048000000000001,1.1286
27,3,Guyane,49,179,240,41,0.05,0.04,45,35178,3.45,2.69,5.8995000000000015,4.5999
28,3,Guyane,59,179,240,137,0.18,0.14,45,27015,15.07,11.66,25.7697,19.938600000000005
29,3,Guyane,69,179,240,169,0.22,0.17,45,17562,28.7,22.16,49.077,37.893600000000006
30,3,Guyane,79,179,240,33,0.04,0.03,45,7990,12.39,9.57,21.1869,16.3647
31,3,Guyane,89,179,240,10,0.01,0.01,45,2820,10.37,7.98,17.7327,13.645800000000001
32,3,Guyane,90,179,240,15,0.02,0.02,45,678,66.37,49.78,113.4927,85.1238
33,4,La Réunion,0,431,842,1273,0.66,0.34,99,857809,3.81,1.96,6.5151,3.3516
34,4,La Réunion,9,431,842,0,0.0,0.0,99,120851,0.0,0.0,0.0,0.0
35,4,La Réunion,19,431,842,3,0.0,0.0,99,133028,0.07,0.04,0.11970000000000001,0.0684
36,4,La Réunion,29,431,842,21,0.01,0.01,99,95794,0.57,0.31,0.9747000000000001,0.5301
37,4,La Réunion,39,431,842,81,0.04,0.02,99,105100,1.98,1.04,3.3857999999999997,1.7784
38,4,La Réunion,49,431,842,163,0.08,0.04,99,112644,3.74,1.89,6.3954,3.2318999999999996
39,4,La Réunion,59,431,842,354,0.18,0.09,99,125377,7.26,3.71,12.4146,6.3441
40,4,La Réunion,69,431,842,340,0.18,0.09,99,90465,9.68,4.92,16.552799999999998,8.4132
41,4,La Réunion,79,431,842,243,0.13,0.06,99,48817,12.78,6.59,21.8538,11.2689
42,4,La Réunion,89,431,842,67,0.04,0.02,99,21110,8.21,4.22,14.039100000000001,7.216200000000001
43,4,La Réunion,90,431,842,0,0.0,0.0,99,4623,0.0,0.0,0.0,0.0
44,6,Mayotte,0,128,51,179,0.28,0.72,8,288926,0.39,0.99,0.6669,1.6928999999999998
45,6,Mayotte,9,128,51,0,0.0,0.0,8,87849,0.0,0.0,0.0,0.0
46,6,Mayotte,19,128,51,0,0.0,0.0,8,67493,0.0,0.0,0.0,0.0
47,6,Mayotte,29,128,51,19,0.03,0.08,8,37887,0.32,0.8,0.5472,1.3680000000000003
48,6,Mayotte,39,128,51,36,0.06,0.14,8,38947,0.59,1.48,1.0089,2.5307999999999997
49,6,Mayotte,49,128,51,0,0.0,0.0,8,29068,0.0,0.0,0.0,0.0
50,6,Mayotte,59,128,51,36,0.06,0.14,8,15245,1.5,3.78,2.565,6.463799999999999
51,6,Mayotte,69,128,51,88,0.14,0.35,8,7982,7.02,17.64,12.004199999999997,30.1644
52,6,Mayotte,79,128,51,0,0.0,0.0,8,3133,0.0,0.0,0.0,0.0
53,6,Mayotte,89,128,51,0,0.0,0.0,8,1078,0.0,0.0,0.0,0.0
54,6,Mayotte,90,128,51,0,0.0,0.0,8,244,0.0,0.0,0.0,0.0
55,11,Île-de-France,0,18496,34857,53921,0.65,0.35,3937,12324261,10.32,5.65,17.6472,9.6615
56,11,Île-de-France,9,18496,34857,104,0.0,0.0,3937,1588356,0.12,0.12,0.2052,0.2052
57,11,Île-de-France,19,18496,34857,93,0.0,0.0,3937,1568020,0.13,0.13,0.2223,0.2223
58,11,Île-de-France,29,18496,34857,699,0.01,0.0,3937,1667300,0.94,0.59,1.6073999999999997,1.0089
59,11,Île-de-France,39,18496,34857,2067,0.02,0.01,3937,1762905,2.79,1.56,4.770900000000001,2.6676
60,11,Île-de-France,49,18496,34857,5343,0.06,0.04,3937,1667552,7.56,4.13,12.927599999999998,7.0623000000000005
61,11,Île-de-France,59,18496,34857,12083,0.14,0.08,3937,1537772,18.56,10.11,31.737599999999993,17.2881
62,11,Île-de-France,69,18496,34857,17500,0.21,0.12,3937,1178800,35.07,19.2,59.9697,32.831999999999994
63,11,Île-de-France,79,18496,34857,12172,0.15,0.08,3937,815126,35.26,19.32,60.2946,33.0372
64,11,Île-de-France,89,18496,34857,2810,0.03,0.02,3937,417574,16.03,8.49,27.4113,14.5179
65,11,Île-de-France,90,18496,34857,437,0.0,0.0,3937,120856,8.14,4.89,13.9194,8.361899999999999
66,27,Bourgogne-Franche-Comté,0,1891,4165,6088,0.68,0.32,459,2784858,5.64,2.6,9.6444,4.446000000000001
67,27,Bourgogne-Franche-Comté,9,1891,4165,2,0.0,0.0,459,288003,0.0,0.0,0.0,0.0
68,27,Bourgogne-Franche-Comté,19,1891,4165,56,0.01,0.0,459,336802,0.41,0.2,0.7011,0.3420000000000001
69,27,Bourgogne-Franche-Comté,29,1891,4165,86,0.01,0.0,459,278760,0.82,0.33,1.4022,0.5643
70,27,Bourgogne-Franche-Comté,39,1891,4165,70,0.01,0.0,459,311074,0.59,0.3,1.0089,0.5129999999999999
71,27,Bourgogne-Franche-Comté,49,1891,4165,353,0.04,0.02,459,339632,2.7,1.22,4.617000000000001,2.0862
72,27,Bourgogne-Franche-Comté,59,1891,4165,941,0.11,0.05,459,374024,6.5,3.01,11.115,5.1471
73,27,Bourgogne-Franche-Comté,69,1891,4165,2112,0.24,0.11,459,368045,14.78,6.86,25.2738,11.730600000000003
74,27,Bourgogne-Franche-Comté,79,1891,4165,1955,0.22,0.1,459,286109,17.65,8.1,30.1815,13.850999999999997
75,27,Bourgogne-Franche-Comté,89,1891,4165,405,0.05,0.02,459,156435,6.75,3.08,11.5425,5.2668
76,27,Bourgogne-Franche-Comté,90,1891,4165,30,0.0,0.0,459,45974,1.5,1.0,2.565,1.7100000000000002
77,28,Normandie,0,2382,4482,6891,0.65,0.35,485,3305218,4.77,2.57,8.156699999999999,4.394699999999999
78,28,Normandie,9,2382,4482,1,0.0,0.0,485,362612,0.0,0.0,0.0,0.0
79,28,Normandie,19,2382,4482,4,0.0,0.0,485,414600,0.0,0.0,0.0,0.0
80,28,Normandie,29,2382,4482,94,0.01,0.0,485,344753,0.63,0.35,1.0773000000000001,0.5984999999999998
81,28,Normandie,39,2382,4482,239,0.02,0.01,485,382906,1.46,0.76,2.4966,1.2996
82,28,Normandie,49,2382,4482,401,0.04,0.02,485,404102,2.28,1.2,3.8988000000000005,2.0519999999999996
83,28,Normandie,59,2382,4482,1194,0.11,0.06,485,434473,6.31,3.4,10.790099999999999,5.814
84,28,Normandie,69,2382,4482,2361,0.22,0.12,485,427895,12.64,6.8,21.614400000000003,11.628
85,28,Normandie,79,2382,4482,2314,0.22,0.12,485,313223,16.88,9.06,28.864800000000002,15.4926
86,28,Normandie,89,2382,4482,214,0.02,0.01,485,171984,2.82,1.55,4.8222,2.6505
87,28,Normandie,90,2382,4482,0,0.0,0.0,485,48670,0.0,0.0,0.0,0.0
