libelle,0 à 4 ans,5 à 9 ans,10 à 14 ans,15 à 19 ans,20 à 24 ans,25 à 29 ans,30 à 34 ans,35 à 39 ans,40 à 44 ans,45 à 49 ans,50 à 54 ans,55 à 59 ans,60 à 64 ans,65 à 69 ans,70 à 74 ans,75 à 79 ans,80 à 84 ans,85 à 89 ans,90 à 94 ans,95 ans et plus,Total,0 à 4 ans,5 à 9 ans,10 à 14 ans,15 à 19 ans,20 à 24 ans,25 à 29 ans,30 à 34 ans,35 à 39 ans,40 à 44 ans,45 à 49 ans,50 à 54 ans,55 à 59 ans,60 à 64 ans,65 à 69 ans,70 à 74 ans,75 à 79 ans,80 à 84 ans,85 à 89 ans,90 à 94 ans,,Total,0 à 4 ans,5 à 9 ans,10 à 14 ans,15 à 19 ans,20 à 24 ans,25 à 29 ans,30 à 34 ans,35 à 39 ans,40 à 44 ans,45 à 49 ans,50 à 54 ans,55 à 59 ans,60 à 64 ans,65 à 69 ans,70 à 74 ans,75 à 79 ans,80 à 84 ans,85 à 89 ans,90 à 94 ans,95 ans et plus,Total
Auvergne-Rhône-Alpes,440202,495637,515291,502998,461404,440786,493618,515409,504504,534785,532558,517899,476363,447277,433013,282968,219963,163472,83732,28563,8090442,225507,253711,263620,258416,235656,219765,241976,252322,248160,267783,264522,254121,228926,210096,200848,126463,92020,57963,23583,5750,3931208,214695,241926,251671,244582,225748,221021,251642,263087,256344,267002,268036,263778,247437,237181,232165,156505,127943,105509,60149,22813,4159234
Bourgogne-Franche-Comté,132370,155633,169355,167447,143458,135302,149860,161214,160602,179030,186038,187986,186637,181408,178013,108096,89856,66579,34551,11423,2784858,67227,79505,86965,87499,75486,68661,74277,79483,79421,88366,92396,92034,90149,86377,83963,49152,37249,23782,9830,2329,1354151,65143,76128,82390,79948,67972,66641,75583,81731,81181,90664,93642,95952,96488,95031,94050,58944,52607,42797,24721,9094,1430707
Bretagne,160976,191567,211550,209582,180421,158515,179923,196744,200835,224007,223981,223812,224736,216124,210517,119316,107311,79499,39196,12546,3371158,82743,98183,108489,108160,94431,80635,89448,97376,99653,112147,111671,110539,108822,102107,96875,52377,43105,27201,10299,2340,1636601,78233,93384,103061,101422,85990,77880,90475,99368,101182,111860,112310,113273,115914,114017,113642,66939,64206,52298,28897,10206,1734557
Centre-Val-de-Loire,129837,151312,162011,154456,126130,123533,141612,149992,148277,168819,171762,169498,166369,161328,157572,95116,79683,61655,31464,11025,2561451,65969,76891,83160,79895,65017,61867,68878,73257,72991,83937,85096,83220,80157,76497,73535,42969,33313,22642,9642,2326,1241259,63868,74421,78851,74561,61113,61666,72734,76735,75286,84882,86666,86278,86212,84831,84037,52147,46370,39013,21822,8699,1320192
Corse,16071,18513,19098,17212,15709,17045,20857,23118,22222,23871,24516,23216,22523,22635,21636,15884,12343,7659,3908,1233,349269,8196,9496,9890,9082,8120,8280,9826,10889,10783,11821,12157,11294,11012,11064,10316,7172,5604,2950,1275,249,169476,7875,9017,9208,8130,7589,8765,11031,12229,11439,12050,12359,11922,11511,11571,11320,8712,6739,4709,2633,984,179793
Grand Est,275862,315887,333172,333185,318373,299896,330179,343710,329679,359977,373025,381607,362836,340468,306631,178855,158419,112028,52737,15950,5522476,141021,161852,170284,171631,164960,151037,163545,169364,163196,178638,185957,187488,173665,161346,144182,80366,65246,38440,14330,2978,2689526,134841,154035,162888,161554,153413,148859,166634,174346,166483,181339,187068,194119,189171,179122,162449,98489,93173,73588,38407,12972,2832950
Hauts-de-France,332198,388147,403414,398301,362799,331789,365268,379651,365617,392129,381788,380816,360727,339245,314108,165434,144244,104196,50396,15490,5975757,170369,198665,205466,204799,185151,165651,179584,186591,180372,195058,189504,186557,171414,157080,142404,71519,55551,33217,13134,2792,2894878,161829,189482,197948,193502,177648,166138,185684,193060,185245,197071,192284,194259,189313,182165,171704,93915,88693,70979,37262,12698,3080879
Île-de-France,787468,800888,797386,770634,802168,865132,899318,863587,831997,835555,786695,751077,639392,539408,498736,316390,245729,171845,87797,33059,12324261,400233,407773,406447,390837,395086,417069,430002,414922,407345,415570,382770,362664,301873,246950,227461,140240,100670,60488,25246,7134,5940780,387235,393115,390939,379797,407082,448063,469316,448665,424652,419985,403925,388413,337519,292458,271275,176150,145059,111357,62551,25925,6383481
Normandie,166835,195777,209467,205133,176900,167853,185436,197470,192206,211896,215125,219348,216769,211126,198549,114674,98227,73757,36672,11998,3305218,84639,99911,108092,106202,90539,83902,91305,96943,94995,104645,106501,107054,103829,99108,91603,50668,39283,25203,10174,2234,1596830,82196,95866,101375,98931,86361,83951,94131,100527,97211,107251,108624,112294,112940,112018,106946,64006,58944,48554,26498,9764,1708388
Nouvelle-Aquitaine,272549,322233,350116,349529,312417,287265,325415,352735,358755,397973,402884,406417,405835,403219,392286,242499,195737,153214,80226,27788,6039092,138000,164669,178978,180098,159687,143383,158673,171387,176134,195559,197531,196006,192924,189738,183029,108309,81626,56382,22762,5579,2900454,134549,157564,171138,169431,152730,143882,166742,181348,182621,202414,205353,210411,212911,213481,209257,134190,114111,96832,57464,22209,3138638
