reg,cl_age90,benef_h,benef_f,astrazeneca_risk,balance_astr_h,balance_astr_f
1,29,0.0,0.0,5.8,-5.8,-5.8
2,29,0.9728,0.6384,5.8,-4.8271999999999995,-5.1616
3,29,2.0064,1.52,5.8,-3.7935999999999996,-4.279999999999999
4,29,1.7328,0.9424,5.8,-4.0672,-4.8576
6,29,0.9728,2.4320000000000004,5.8,-4.8271999999999995,-3.3679999999999994
11,29,2.8575999999999997,1.7935999999999999,5.8,-2.9424,-4.0064
27,29,2.4928,1.0032,5.8,-3.3072,-4.796799999999999
28,29,1.9152,1.0639999999999998,5.8,-3.8848,-4.736
32,29,2.1888,1.2464,5.8,-3.6111999999999997,-4.553599999999999
44,29,1.2160000000000002,0.7296,5.8,-4.584,-5.070399999999999
52,29,0.42560000000000003,0.15200000000000002,5.8,-5.3744,-5.648
53,29,0.6080000000000001,0.30400000000000005,5.8,-5.192,-5.4959999999999996
75,29,1.0639999999999998,0.6080000000000001,5.8,-4.736,-5.192
76,29,1.0336,0.3952,5.8,-4.7664,-5.4048
84,29,1.6112000000000002,0.8208000000000001,5.8,-4.1888,-4.9792
93,29,1.9456,0.6384,5.8,-3.8544,-5.1616
94,29,0.0,0.0,5.8,-5.8,-5.8
1,39,4.0736,1.7328,4.6,-0.5263999999999998,-2.8671999999999995
2,39,4.6208,2.888,4.6,0.020800000000000374,-1.7119999999999997
3,39,2.6752000000000002,2.0064,4.6,-1.9247999999999994,-2.5935999999999995
4,39,6.0192,3.1616,4.6,1.4192,-1.4383999999999997
6,39,1.7935999999999999,4.4992,4.6,-2.8064,-0.10079999999999956
11,39,8.4816,4.7424,4.6,3.8816000000000006,0.1424000000000003
27,39,1.7935999999999999,0.9119999999999999,4.6,-2.8064,-3.6879999999999997
28,39,4.4384,2.3104,4.6,-0.16159999999999997,-2.2895999999999996
32,39,4.6816,2.9184,4.6,0.08160000000000078,-1.6815999999999995
44,39,4.255999999999999,2.0064,4.6,-0.3440000000000003,-2.5935999999999995
52,39,1.5504,0.6384,4.6,-3.0496,-3.9616
53,39,0.45599999999999996,0.1824,4.6,-4.144,-4.417599999999999
75,39,2.584,1.2160000000000002,4.6,-2.0159999999999996,-3.3839999999999995
76,39,4.3776,2.2800000000000002,4.6,-0.2223999999999995,-2.3199999999999994
84,39,3.8608000000000002,2.1584,4.6,-0.7391999999999994,-2.4415999999999998
93,39,5.502400000000001,2.1888,4.6,0.902400000000001,-2.4111999999999996
94,39,1.7631999999999999,0.6080000000000001,4.6,-2.8367999999999998,-3.9919999999999995
1,49,17.692800000000002,7.9344,5.8,11.892800000000001,2.1344000000000003
2,49,21.3104,13.4672,5.8,15.5104,7.6672
3,49,10.488000000000001,8.1776,5.8,4.6880000000000015,2.3776
4,49,11.3696,5.7456,5.8,5.5696,-0.054400000000000226
6,49,0.0,0.0,5.8,-5.8,-5.8
11,49,22.9824,12.5552,5.8,17.182399999999998,6.755199999999999
27,49,8.208,3.7088,5.8,2.4080000000000004,-2.0911999999999997
28,49,6.9312,3.6479999999999997,5.8,1.1311999999999998,-2.152
32,49,16.689600000000002,10.0624,5.8,10.889600000000002,4.2624
44,49,11.3696,5.472,5.8,5.5696,-0.3279999999999994
52,49,6.2016,2.6144,5.8,0.4016000000000002,-3.1856
53,49,4.4384,1.8848,5.8,-1.3616000000000001,-3.9151999999999996
75,49,6.444800000000001,3.04,5.8,0.6448000000000009,-2.76
76,49,7.1136,3.5568,5.8,1.3136,-2.2432
84,49,11.4608,6.536,5.8,5.660800000000001,0.7359999999999998
93,49,13.0416,5.472,5.8,7.241600000000001,-0.3279999999999994
94,49,2.2800000000000002,0.7904,5.8,-3.5199999999999996,-5.0096
1,59,47.3024,21.0064,3.2,44.102399999999996,17.8064
2,59,24.715200000000003,15.443200000000001,3.2,21.515200000000004,12.243200000000002
3,59,45.8128,35.446400000000004,3.2,42.6128,32.2464
4,59,22.0704,11.2784,3.2,18.8704,8.078399999999998
6,59,4.5600000000000005,11.4912,3.2,1.3600000000000003,8.2912
11,59,56.422399999999996,30.734399999999997,3.2,53.22239999999999,27.534399999999998
27,59,19.76,9.1504,3.2,16.560000000000002,5.950399999999999
28,59,19.182399999999998,10.336,3.2,15.982399999999998,7.136
32,59,32.011199999999995,19.152,3.2,28.811199999999996,15.952000000000002
44,59,23.8032,11.4,3.2,20.6032,8.2
52,59,18.148799999999998,7.5696,3.2,14.948799999999999,4.3696
53,59,9.5152,4.0736,3.2,6.3152,0.8735999999999997
75,59,13.072,6.353599999999999,3.2,9.872,3.153599999999999
76,59,18.4832,9.4848,3.2,15.2832,6.2848
84,59,27.755200000000002,15.7168,3.2,24.555200000000003,12.5168
93,59,32.072,13.740799999999998,3.2,28.872000000000003,10.540799999999997
94,59,15.5648,5.5328,3.2,12.364799999999999,2.3327999999999998
1,69,53.4736,23.7728,3.0,50.4736,20.7728
2,69,25.1712,15.777600000000001,3.0,22.1712,12.777600000000001
3,69,87.248,67.3664,3.0,84.248,64.3664
4,69,29.4272,14.9568,3.0,26.4272,11.9568
6,69,21.340799999999998,53.625600000000006,3.0,18.340799999999998,50.625600000000006
11,69,106.61280000000001,58.367999999999995,3.0,103.61280000000001,55.367999999999995
27,69,44.9312,20.854400000000002,3.0,41.9312,17.854400000000002
28,69,38.4256,20.672,3.0,35.4256,17.672
32,69,67.8832,40.7968,3.0,64.8832,37.7968
44,69,47.424,22.951999999999998,3.0,44.424,19.951999999999998
52,69,30.6128,12.889600000000002,3.0,27.6128,9.889600000000002
53,69,21.1584,9.120000000000001,3.0,18.1584,6.120000000000001
75,69,26.6,12.8288,3.0,23.6,9.8288
76,69,35.7504,18.148799999999998,3.0,32.7504,15.148799999999998
84,69,55.480000000000004,31.281599999999997,3.0,52.480000000000004,28.281599999999997
93,69,61.6208,26.265600000000003,3.0,58.6208,23.265600000000003
94,69,25.232000000000003,8.9984,3.0,22.232000000000003,5.9984
1,79,21.827199999999998,9.667200000000001,2.2,19.6272,7.467200000000001
2,79,59.736,37.361599999999996,2.2,57.535999999999994,35.16159999999999
3,79,37.665600000000005,29.0928,2.2,35.4656,26.8928
4,79,38.8512,20.0336,2.2,36.651199999999996,17.8336
6,79,0.0,0.0,2.2,-2.2,-2.2
11,79,107.1904,58.732800000000005,2.2,104.9904,56.5328
27,79,53.656,24.624,2.2,51.455999999999996,22.424
28,79,51.3152,27.5424,2.2,49.115199999999994,25.3424
32,79,80.0128,47.728,2.2,77.8128,45.528
44,79,66.8496,32.345600000000005,2.2,64.64959999999999,30.145600000000005
52,79,32.528,13.740799999999998,2.2,30.328,11.540799999999997
53,79,23.8336,10.184000000000001,2.2,21.6336,7.984000000000001
75,79,28.2416,13.619200000000001,2.2,26.0416,11.4192
76,79,49.9472,25.414399999999997,2.2,47.7472,23.214399999999998
84,79,67.18400000000001,38.0,2.2,64.98400000000001,35.8
93,79,66.54560000000001,28.302400000000002,2.2,64.3456,26.102400000000003
94,79,27.967999999999996,9.9712,2.2,25.767999999999997,7.771199999999999
1,89,0.0,0.0,1.2,-1.2,-1.2
2,89,8.511999999999999,5.32,1.2,7.3119999999999985,4.12
3,89,31.5248,24.2592,1.2,30.3248,23.0592
4,89,24.958400000000005,12.8288,1.2,23.758400000000005,11.6288
6,89,0.0,0.0,1.2,-1.2,-1.2
11,89,48.7312,25.8096,1.2,47.5312,24.6096
27,89,20.52,9.3632,1.2,19.32,8.163200000000002
28,89,8.572799999999999,4.712000000000001,1.2,7.372799999999999,3.5120000000000005
32,89,26.3264,15.777600000000001,1.2,25.1264,14.577600000000002
44,89,19.5472,9.4848,1.2,18.3472,8.2848
52,89,10.2752,4.2256,1.2,9.0752,3.0256
53,89,2.6144,1.1248,1.2,1.4143999999999999,-0.07519999999999993
75,89,10.792,5.2592,1.2,9.592,4.0592
76,89,16.9024,8.664,1.2,15.7024,7.4639999999999995
84,89,17.1152,10.1232,1.2,15.915200000000002,8.923200000000001
93,89,20.0336,8.572799999999999,1.2,18.8336,7.372799999999999
94,89,12.5248,4.5600000000000005,1.2,11.324800000000002,3.3600000000000003
