,reg,libelle,cl_age90,rea_f,rea_h,rea,pct_h,pct_f,incid_rea,population,inc_h,inc_f,benef_h,benef_f
0,1,Guadeloupe,0,244,549,793,0.69,0.31,70,375693,6.45,2.87,19.608,8.7248
1,1,Guadeloupe,9,244,549,0,0.0,0.0,70,39898,0.0,0.0,0.0,0.0
2,1,Guadeloupe,19,244,549,0,0.0,0.0,70,49529,0.0,0.0,0.0,0.0
3,1,Guadeloupe,29,244,549,0,0.0,0.0,70,34537,0.0,0.0,0.0,0.0
4,1,Guadeloupe,39,244,549,16,0.01,0.01,70,36680,1.34,0.57,4.0736,1.7328
5,1,Guadeloupe,49,244,549,89,0.08,0.04,70,46892,5.82,2.61,17.692800000000002,7.9344
6,1,Guadeloupe,59,244,549,307,0.27,0.12,70,60297,15.56,6.91,47.3024,21.0064
7,1,Guadeloupe,69,244,549,301,0.26,0.12,70,52339,17.59,7.82,53.4736,23.7728
8,1,Guadeloupe,79,244,549,80,0.07,0.03,70,34121,7.18,3.18,21.827199999999998,9.667200000000001
9,1,Guadeloupe,89,244,549,0,0.0,0.0,70,16605,0.0,0.0,0.0,0.0
10,1,Guadeloupe,90,244,549,0,0.0,0.0,70,4795,0.0,0.0,0.0,0.0
11,2,Martinique,0,316,507,824,0.62,0.38,66,354824,5.72,3.58,17.3888,10.8832
12,2,Martinique,9,316,507,0,0.0,0.0,66,33346,0.0,0.0,0.0,0.0
13,2,Martinique,19,316,507,0,0.0,0.0,66,41386,0.0,0.0,0.0,0.0
14,2,Martinique,29,316,507,4,0.0,0.0,66,31356,0.32,0.21,0.9728,0.6384
15,2,Martinique,39,316,507,22,0.02,0.01,66,34654,1.52,0.95,4.6208,2.888
16,2,Martinique,49,316,507,117,0.09,0.06,66,40940,7.01,4.43,21.3104,13.4672
17,2,Martinique,59,316,507,203,0.15,0.1,66,61693,8.13,5.08,24.715200000000003,15.443200000000001
18,2,Martinique,69,316,507,179,0.13,0.08,66,53383,8.28,5.19,25.1712,15.777600000000001
19,2,Martinique,79,316,507,272,0.2,0.13,66,34098,19.65,12.29,59.736,37.361599999999996
20,2,Martinique,89,316,507,22,0.02,0.01,66,18825,2.8,1.75,8.511999999999999,5.32
21,2,Martinique,90,316,507,5,0.0,0.0,66,5143,2.57,1.28,7.812799999999999,3.8912
22,3,Guyane,0,179,240,426,0.56,0.44,45,294146,4.31,3.34,13.1024,10.153599999999999
23,3,Guyane,9,179,240,0,0.0,0.0,45,63296,0.0,0.0,0.0,0.0
24,3,Guyane,19,179,240,0,0.0,0.0,45,57886,0.0,0.0,0.0,0.0
25,3,Guyane,29,179,240,9,0.01,0.01,45,40628,0.66,0.5,2.0064,1.52
26,3,Guyane,39,179,240,12,0.02,0.01,45,41093,0.88,0.66,2.6752000000000002,2.0064
27,3,Guyane,49,179,240,41,0.05,0.04,45,35178,3.45,2.69,10.488000000000001,8.1776
28,3,Guyane,59,179,240,137,0.18,0.14,45,27015,15.07,11.66,45.8128,35.446400000000004
29,3,Guyane,69,179,240,169,0.22,0.17,45,17562,28.7,22.16,87.248,67.3664
30,3,Guyane,79,179,240,33,0.04,0.03,45,7990,12.39,9.57,37.665600000000005,29.0928
31,3,Guyane,89,179,240,10,0.01,0.01,45,2820,10.37,7.98,31.5248,24.2592
32,3,Guyane,90,179,240,15,0.02,0.02,45,678,66.37,49.78,201.7648,151.3312
